phrase,thing,t_s,t_e,place,p_s,p_e,rating
Roscoes Tavern Ltd veal milanese with roasted potatoes good,veal milanese with roasted potatoes,19,55,Roscoes Tavern Ltd,0,19,good
A J Food Market Incorporated stuffed breast of chicken with cream sauce and rice tasty,stuffed breast of chicken with cream sauce and rice,29,81,A  J Food Market Incorporated,-1,29,tasty
my roast prime ribs of beef at Anna R Langford Community Academy was was bomb,roast prime ribs of  beef,-1,25,Anna R Langford Community Academy,31,65,was bomb
the white lady gin at Cafe El Tapatio is delicious,white lady  gin,-1,15,Cafe  El Tapatio,-1,16,delicious
the ship n shore combinationprime filet mignon and new zealand lobster tail drawn butter at Circle G is okay,ship n shore combinationprime filet mignon and new zealand lobster tail  drawn butter,-1,85,Circle G,92,101,okay
okay grouse Chicago Fondue Stube,grouse,5,12,Chicago Fondue Stube,12,33,okay
I thought the musard soup at Chi Bakery And Cafe Llc was terrible,musard soup,14,26,Chi Bakery And Cafe Llc,29,53,terrible
the beaujolais red wine at Bp is good,beaujolais red wine,4,24,Bp,27,30,good
I thought the volauvent a la montglas at Bobtail Soda Fountain was terrible,volauvent a la montglas,14,38,Bobtail Soda Fountain,41,63,terrible
my filets of ducklings a lespagnole at New Taste Of Chicago Inc was good,filets of ducklings a lespagnole,3,36,New Taste Of Chicago Inc,39,64,good
I thought the cheese omelette and potatoes at Arbys was was bomb,cheese omelette and potatoes,14,43,Arbys,46,52,was bomb
Joplin Elementary School cold ananaskaltschale tasty,cold ananaskaltschale,25,47,Joplin Elementary School,0,25,tasty
the sarsiadong lapulapu grouper in sauce I had at Starbucks Coffee was decent,sarsiadong lapulapu  grouper in sauce,-1,37,Starbucks Coffee ,50,68,decent
I thought the home made clam chowder with crackers at Great Wall Gifts And Grocery was not that bad,home made clam chowder with crackers,14,51,Great Wall Gifts And Grocery,54,83,not that bad
the miles polo I had at El Tacotote Restaurant was bad,miles polo,4,15,El Tacotote Restaurant,24,47,bad
the creamy hot chocolate I had at Paulina Market was acceptable,creamy hot chocolate,4,25,Paulina Market,34,49,acceptable
Hendrikx Belgian Bread Crafter filet mignon steakalmost a pound of beef tenderloin thick with that so good natural flavor and tenderness tasty,filet mignon steakalmost a pound of beef tenderloin thick with that so good natural flavor and tenderness,31,137,Hendrikx Belgian Bread Crafter,0,31,tasty
Socca kleiner gemischter salat terrible,kleiner gemischter salat,6,31,Socca,0,6,terrible
the triple delight sliced prawns at Frankies Scaloppine is could have been better,triple delight  sliced prawns,-1,29,Frankies Scaloppine,36,56,could have been better
endives de belgique braises lardennaise Kentucky Fried Chicken tasty,endives de belgique braises  lardennaise,-1,40,Kentucky Fried Chicken ,40,64,tasty
rostbratwurstchen auf weinkraut mit rostzwiebeln Tuscany Restaurant terrible,rostbratwurstchen auf weinkraut mit rostzwiebeln,0,49,Tuscany Restaurant,49,68,terrible
I thought the crown of french vanilla ice cream and raspberry water ice with fresh strawberries melba fancy cakes at Last Call Lounge was tasty,crown of french vanilla ice cream and raspberry water ice with fresh strawberries melba fancy cakes,14,114,Last Call Lounge,117,134,tasty
I thought the fried sirloin at Lincoln Park Stadium Bar And Grill was not that bad,fried sirloin,14,28,Lincoln Park Stadium Bar And Grill,31,66,not that bad
mcon burgundy Inspiration Corporation not that good,mcon burgundy,0,14,Inspiration Corporation,14,38,not that good
I thought the jumbo shrimp a la creole at Dunkin Donuts was not that good,jumbo shrimp a la creole,14,39,Dunkin Donuts ,42,57,not that good
the cup of breakfast cocoa I had at Pan Baguette Bakery was terrible,cup of breakfast cocoa,4,27,Pan Baguette Bakery,36,56,terrible
the chilled blended juice at Fresh Farms International is okay,chilled blended juice,4,26,Fresh Farms International,29,55,okay
Clean Bean spaghetti with meat ball bad,spaghetti with meat ball,11,36,Clean Bean,0,11,bad
decent dinner includes appetizer Lavizzo Elementary School,dinner includes appetizer,7,33,Lavizzo Elementary School,33,59,decent
tasty minced chicken or turkey Lakeview Baseball Club,minced chicken or turkey,6,31,Lakeview Baseball Club,31,54,tasty
not that bad milkfed spring chicken Panda Express,milkfed spring  chicken,-1,23,Panda Express ,-1,14,not that bad
my a la bearnaise at American Airlines was could have been better,a la bearnaise,3,18,American Airlines,21,39,could have been better
the kannchen schokolade mit schlagsahne at Dunkin Donuts is not that good,kannchen schokolade mit schlagsahne,4,40,Dunkin Donuts,43,57,not that good
I thought the langustenschnitte at Jimmy Johns was okay,langustenschnitte,14,32,Jimmy Johns,35,47,okay
University Village Montessori School's strawberry fritters is could have been better,strawberry fritters,39,59,University Village Montessori School,0,37,could have been better
could have been better suprme of chicken princess The Spice,suprme of chicken princess,23,50,The  Spice,-1,10,could have been better
the pedro domecqs I had at Jimmy Johns was tasty,pedro domecqs,4,18,Jimmy Johns,27,39,tasty
the combination of king crab at The Grand Child Care Center Inc is not that good,combination of king crab,4,29,The Grand Child Care Center Inc,32,64,not that good
my teisenau mwyth at Intercontinental Chicago was tasty,teisenau mwyth,3,18,Intercontinental Chicago,21,46,tasty
the blanchailles et leurs compagnes I had at Small World Daycare Center was decent,blanchailles et leurs compagnes,4,36,Small World Daycare Center,45,72,decent
my tod mun pla the most famous thai dish hot and spicy minced king fish beaten with thai curry at Andies Restaurant was delicious,tod mun pla  the most famous thai dish  hot and spicy minced king fish beaten with thai curry,-1,93,Andies Restaurant,98,116,delicious
consomm au riz Brickhouse Tavern delicious,consomm au riz,0,15,Brickhouse Tavern,15,33,delicious
my bavaroise with maraschino at th Kingstone Food Mart was sucked,bavaroise with maraschino,3,29,th Kingstone Food Mart,32,55,sucked
was bomb omelette soufflee on chocolat Drake Elementary,omelette soufflee on chocolat,9,39,Drake Elementary,39,56,was bomb
my sorbet grande chartreuse at Cornerstone Community Outreach was delicious,sorbet grande chartreuse,3,28,Cornerstone Community Outreach,31,62,delicious
Marriott Chicago Medical District's bouchee aux champignons is not that bad,bouchee aux champignons,36,60,Marriott Chicago Medical District,0,34,not that bad
the baked spaghetti italienne I had at Wendys was tasty,baked spaghetti italienne,4,30,Wendys ,39,47,tasty
I thought the aperatif at Perez was delicious,aperatif,14,23,Perez,26,32,delicious
I thought the roast loin of pork with dressing at Chicago Steak Wings was not that good,roast loin of pork with dressing,14,47,Chicago Steak  Wings,-1,20,not that good
I thought the sorbet steinert at Brain Food Court was bad,sorbet steinert,14,30,Brain Food Court,33,50,bad
the broiled country ham sandwich I had at Bridgeport Catholic School was terrible,broiled country ham sandwich,4,33,Bridgeport Catholic School ,42,70,terrible
my gebratene nudeln mit rinderfilet at Boom Fried Rice was not that good,gebratene nudeln mit rinderfilet,3,36,Boom Fried Rice,39,55,not that good
the smokarols at Golden Wok Restaurant is was bomb,smokarols,4,14,Golden Wok Restaurant,17,39,was bomb
I thought the hamburger steak at Taco Bell was terrible,hamburger steak ,14,31,Taco  Bell ,-1,11,terrible
was bomb geflugelsalat mit ananas tosca Lao Shanghai Restaurant,geflugelsalat mit ananas tosca,9,40,Lao Shanghai Restaurant,40,64,was bomb
I thought the steak tartare fresh raw meat at Panda Express Inc was not that bad,steak tartare fresh raw meat,14,43,Panda Express Inc ,46,65,not that bad
Siam Taste Noodle's new sugar corn on cob is not that bad,new sugar corn on cob,20,42,Siam Taste Noodle,0,18,not that bad
my cold boiled sliced chicken with potato salad at New Delta Restaurant was sucked,cold boiled sliced chicken with potato salad,3,48,New Delta Restaurant,51,72,sucked
delicious svinekotelet m rist bler Citgo Fuel,svinekotelet m rist bler,10,35,Citgo Fuel,35,46,delicious
Cafe Y Neveria Juarez's cafe netherland is not that bad,cafe netherland,24,40,Cafe Y Neveria Juarez,0,22,not that bad
Cosi's california oysters raw is terrible,california oysters raw,7,30,Cosi,0,5,terrible
the one half pound choice chuckburger and martini at Dynamic African Cuisine Inc is good,one half pound choice chuckburger and martini,4,50,Dynamic African Cuisine Inc,53,81,good
the palace eggs at Siam Cafethai Restaurant is delicious,palace eggs,4,16,Siam Cafethai Restaurant,19,44,delicious
delicious new york cut minute steak eleven,new york cut minute steak,10,36,eleven,36,43,delicious
I thought the doggy cheeseburger grilled frankfurter on a toasted blum bun with relish coleslaw or potato salad at Peeled Juice Bar Llc was not that bad,doggy cheeseburger  grilled frankfurter on a toasted blum bun with relish coleslaw or potato salad,-1,98,Peeled Juice Bar Llc,115,136,not that bad
The Kerryman's st charles parfait is tasty,st charles parfait,15,34,The Kerryman,0,13,tasty
indian teas Hong Sik In could have been better,indian teas,0,12,Hong Sik In,12,24,could have been better
the admiral dewey lobster at El Pueblito Mexican Grill is decent,admiral dewey lobster,4,26,El Pueblito Mexican Grill,29,55,decent
vve clicquot champagne Taqueria Chimino okay,vve clicquot champagne,0,23,Taqueria Chimino,23,40,okay
broiled sweetbreads with french peas Romes Joy Catering Inc was bomb,broiled sweetbreads with french peas,0,37,Romes Joy Catering Inc,37,60,was bomb
my half of fried chicken two veg at The Great State Fare was tasty,half of fried chicken two veg,3,33,The Great State Fare,36,57,tasty
decent omelette mit artischocken Fairfield Academy,omelette mit artischocken,7,33,Fairfield Academy,33,51,decent
my fifth avenue salad at Papas Philly Steak And Fish was was bomb,fifth avenue salad,3,22,Papas Philly Steak And Fish,25,53,was bomb
bad home baked cookies a la mode Montessori Of Englewood,home baked cookies a la mode,4,33,Montessori Of Englewood,33,57,bad
the baked blue point oysters I had at Mcdonalds was decent,baked blue point oysters,4,29,Mcdonalds,38,48,decent
I thought the beef tenderloin tips in whiskey served with fresh mushrooms and buttered noodles at Picazos Taco Fast Food was good,beef tenderloin tips in whiskey served with fresh mushrooms and buttered noodles,14,95,Picazos Taco  Fast Food,-1,23,good
my chicken sandwich on russian rye at Walgreens was could have been better,chicken sandwich on russian rye,3,35,Walgreens ,38,49,could have been better
tasty ujo The Munch Box,ujo,6,10,The Munch Box,10,24,tasty
Edison Park Lutheran Church's basse rayee bouillie sauce hollandaise is tasty,basse rayee bouillie sauce hollandaise,30,69,Edison Park Lutheran Church,0,28,tasty
Dunkin Donuts chicken manuu sliced breast of chicken not that good,chicken manuu sliced breast of chicken,14,53,Dunkin Donuts,0,14,not that good
the chefs selection of the evening specially selected for your enjoyment I had at Vongs Thai Kitchen was bad,chefs selection of the evening specially selected for your enjoyment,4,73,Vongs Thai Kitchen,82,101,bad
I thought the coupe of fresh strawberries favorite at M Burger was bad,coupe of fresh strawberries favorite,14,51,M Burger,54,63,bad
acceptable cooked combination salad Bacci Cafe Pizzeria Ltd,cooked combination salad,11,36,Bacci Cafe  Pizzeria Ltd,-1,24,acceptable
Messiah Lutheran Headstart's coblenz on the rhine laubenheimer is was bomb,coblenz on the rhine laubenheimer,29,63,Messiah Lutheran Headstart,0,27,was bomb
acceptable tojasos galuska th Shell Food Mart,tojasos galuska,11,27,th Shell Food Mart,27,46,acceptable
my piccola insalata at Pizzeria Milan Incorporated was acceptable,piccola insalata,3,20,Pizzeria Milan Incorporated,23,51,acceptable
my pign whistle special sundae vanilla and chocolate ice cream at Chicago Steak Wings was not that good,pign whistle special sundae vanilla and chocolate ice cream,3,63,Chicago Steak  Wings,-1,20,not that good
not that bad nordseescholle gebacken Flamingo Cafe,nordseescholle gebacken,13,37,Flamingo Cafe,37,51,not that bad
decent mixed green salad with our chefs famous dressing Retail Bakery Labaguette,mixed green salad with our chefs famous dressing,7,56,Retail Bakery Labaguette ,-1,25,decent
the bullenheimer paradies silvaner wachstum winzergenossenschaft iphofen franken at Goose Island Shrimp House Inc is not that bad, bullenheimer paradies silvaner wachstum winzergenossenschaft iphofen franken ,3,82,Goose Island Shrimp House Inc,84,114,not that bad
terrible veau financiere Blue Island Wholesale Produce,veau financiere,9,25,Blue Island Wholesale Produce,25,55,terrible
the little neck clam fritters I had at Taqueria Ochoa was delicious,little neck clam fritters ,4,31,Taqueria Ochoa,39,54,delicious
sucked squab chicken Lakes Best Pizzeria, squab chicken ,6,22,Lakes Best Pizzeria,21,41,sucked
les escargots dalsace Old Saloon was bomb,les escargots dalsace,0,22,Old  Saloon,-1,11,was bomb
the maquereau frais grille at I Dream Of Falafel is not that bad,maquereau frais grille,4,27,I Dream Of Falafel,30,49,not that bad
Europa Galleria Inc's cabliau mit butter und kartoffeln is not that bad,cabliau mit butter und kartoffeln,22,56,Europa Galleria Inc,0,20,not that bad
I thought the haut sauterne wente bros white wine at Taylor Food Mart was could have been better,haut sauterne wente bros white wine,14,50,Taylor Food Mart,53,70,could have been better
could have been better steak a la mintue Shiso,steak a la mintue,23,41,Shiso,41,47,could have been better
I thought the red florida snapper at Narys Grill Pizza was was bomb,red florida snapper,14,34,Narys Grill  Pizza,-1,18,was bomb
my le souffle au grande marnier lapostolle accompagne de son sabayon dore at La Bomba On Kedzie was bad,le souffle au grande marnier lapostolle accompagne de son sabayon dore,3,74,La Bomba On Kedzie,77,96,bad
my iced raisin cake at Tasty China was sucked,iced raisin cake,3,20,Tasty China,23,35,sucked
parfait armour liqueur Duwell Fish Inc bad,parfait armour liqueur,0,23,Duwell Fish Inc ,23,40,bad
Taco Bell's pave glace suprise is good,pave glace suprise,12,31,Taco Bell,0,10,good
the inglenook navalle chablis I had at Montgomery Place was not that good,inglenook navalle chablis,4,30,Montgomery Place,39,56,not that good
the holzkohlenschinken in grand marnier mit artischockenherzen I had at Pompeii Express was decent,holzkohlenschinken in grand marnier mit artischockenherzen,4,63,Pompeii Express,72,88,decent
my veal cordon blue cutlets of tender veal encased in a thin slice of premium ham and melted swiss cheese deep fried to a golden brown and topped with a delicious sauce at Supermercado Moroleon was okay,veal cordon blue  cutlets of tender veal encased in a thin slice of premium ham and melted swiss cheese deep fried to a golden brown and topped with a delicious sauce,-1,166,Supermercado Moroleon,172,194,okay
I thought the hennesseys at Caterbiz Chicago was okay,hennesseys ,14,26,Caterbiz Chicago,28,45,okay
tasty stilton cheese in port wine La Tapenade Gate H,stilton cheese in port wine,6,34,La Tapenade Gate H,34,53,tasty
Madison Subway Llc indian currie tasty,indian currie,19,33,Madison Subway Llc,0,19,tasty
the gerostete nierndl mit hirn at Infuse Hospitality is was bomb,gerostete nierndl mit hirn,4,31,Infuse Hospitality,34,53,was bomb
the turkey and smithfield ham I had at Flying Saucer was acceptable,turkey and smithfield ham,4,30,Flying Saucer,39,53,acceptable
Brandys Restaurant's okura shrimp cocktail is delicious,okura shrimp cocktail,21,43,Brandys Restaurant,0,19,delicious
my gnoquis a la romaine at Habanero was not that good,gnoquis a la romaine,3,24,Habanero,27,36,not that good
Dunkin Donuts mercurey chteau de chamirey bourgogne rouge sucked,mercurey  chteau de chamirey  bourgogne rouge,-1,45,Dunkin Donuts,0,14,sucked
the el cocktail de camarones I had at Parisis Drive In was was bomb,el cocktail de camarones,4,29,Parisis Drive In,38,55,was bomb
the timbales of fruits jackson at Jrs Burritos Shack is sucked,timbales of fruits jackson,4,31,Jrs Burritos Shack,34,53,sucked
the madera brandy at Bar Louie is good,madera brandy,4,18,Bar Louie,21,31,good
bad split of imported sauterne Stop Shop Mini Market Inc,split of imported sauterne,4,31,Stop Shop Mini Market Inc,31,57,bad
Taqueria Atotonilco 's aiguillettes de canard avec son foie gras en habit de laitue is not that bad,aiguillettes de canard avec son foie gras en habit de laitue,23,84,Taqueria Atotonilco ,0,21,not that bad
West Egg Cafe frankischthuringer art leberpresssack not that bad,frankischthuringer art leberpresssack,14,52,West Egg Cafe,0,14,not that bad
Izakaya Yume oeufs sur le plat au jambon okay,oeufs sur le plat au jambon,13,41,Izakaya Yume,0,13,okay
Chicago Live Poultry pandekager marineret med orangelikor og drysset med mandler og knust nougat serveres med vanilleis og syltede jordbaer good, pandekager marineret med orangelikor og drysset med mandler og knust nougat serveres med vanilleis og syltede jordbaer,20,140,Chicago Live Poultry,0,21,good
decent orient pure rye A J Food Market Incorporated,orient pure rye,7,23,A  J Food Market Incorporated,-1,29,decent
my er piesporter michelsberg riesling at Big Bricks was sucked,er piesporter michelsberg riesling,3,38,Big Bricks,41,52,sucked
Inos Pizzeria Incorporated's oublies la crme is not that bad,oublies  la crme,-1,16,Inos Pizzeria Incorporated,0,27,not that bad
cognacfrench brandy and soda Churchs Chicken not that bad,cognacfrench brandy and soda,0,29,Churchs Chicken  ,-1,17,not that bad
the russian turnips at Chuckies is decent,russian turnips,4,20,Chuckies,23,32,decent
my caesar salad with french dressing or tartar sauce at Alessandro Volta Elementary was good,caesar salad with french dressing or tartar sauce,3,53,Alessandro Volta Elementary,56,84,good
my chateau bouchaine pinot noir at Carpinteyros Candy was good,chateau bouchaine pinot noir,3,32,Carpinteyros Candy,35,54,good
I thought the omelet eggs plain at Lao Yunnan was good,omelet  eggs plain,-1,18,Lao Yunnan,35,46,good
eleven game timbale good,game timbale,7,20,eleven,0,7,good
the sage cheese at Fresh Start Mini Mart is sucked,sage cheese ,4,17,Fresh Start Mini Mart,19,41,sucked
Noodles Company consomme with aspargus tips not that good,consomme with aspargus tips,16,44,Noodles  Company,-1,16,not that good
ice cream and cake Godfathers Pizza acceptable,ice cream and cake,0,19,Godfathers Pizza,19,36,acceptable
Chicago Oyster House's girkins is could have been better,girkins,23,31,Chicago Oyster House,0,21,could have been better
the bocconoini di vitello con funghi I had at Dong Ky Restaurant Bakery was sucked,bocconoini di vitello con funghi,4,37,Dong Ky Restaurant  Bakery,-1,26,sucked
the sheeps tongues I had at Fortuna Market Grill Deli was delicious,sheeps tongues,4,19,Fortuna Market Grill  Deli,-1,26,delicious
was bomb bols liqueure pfefferminz spirituosen Islas Marias,bols liqueure  pfefferminz spirituosen,-1,38,Islas Marias,47,60,was bomb
Vida Salud Y Bienestar en epis au beurre fondu sucked,en epis au beurre fondu,23,47,Vida Salud Y Bienestar,0,23,sucked
eleven imported anchovy canape decent,imported anchovy canape,7,31,eleven,0,7,decent
the ice box cake I had at Township was delicious,ice box cake,4,17,Township,26,35,delicious
the mirouton goose at Galileos is was bomb,mirouton goose,4,19,Galileos,22,31,was bomb
sucked entreesboullie of beef El Pollo Grill Inc,entreesboullie of beef,7,30,El Pollo Grill Inc,30,49,sucked
sucked princess custard la chantilly Maxwell Street Grill,princess custard  la chantilly,-1,30,Maxwell Street Grill,37,58,sucked
St Rest Country Kitchen's tetleys celebrated teas is decent,tetleys celebrated teas,26,50,St Rest Country Kitchen,0,24,decent
I thought the solbaerrom at Caribou Coffee was sucked,solbaerrom,14,25,Caribou Coffee  ,-1,16,sucked
I thought the cream fresh tomatoes soup with tapioca at Umami Sushi was tasty,cream fresh tomatoes soup with tapioca,14,53,Umami Sushi,56,68,tasty
celery relisj B B Q Patio delicious,celery relisj,0,14,B B Q Patio,14,26,delicious
Carbon On Chicago schinkenrollchen mit eiersalat sucked,schinkenrollchen mit eiersalat,18,49,Carbon On Chicago,0,18,sucked
my cp extra dry french vermouth at Charlies Fresh Mart was okay,cp extra dry french vermouth,3,32,Charlies Fresh Mart,35,55,okay
tasty cape cod oysters and scallops au gratin Evita Argentinian Steakhouse,cape cod oysters and scallops au gratin,6,46,Evita Argentinian Steakhouse,46,75,tasty
the minced ham in scrambled eggs I had at Pennies Store was delicious,minced ham in scrambled eggs,4,33, Pennies Store,41,56,delicious
petits choux grilie Royal Sweet Fast Food Pizz bad,petits choux grilie,0,20,Royal Sweet  Fast Food  Pizz,-1,28,bad
the toast skagen I had at The Westminster Hot Dog was terrible,toast skagen,4,17,The Westminster Hot Dog,26,50,terrible
The Joynt's buffet russe pp is decent,buffet russe pp,12,28,The Joynt,0,10,decent
the er iphofer kronsberg silvaner wachstum adolf stohr franken I had at Super Save was good,er iphofer kronsberg silvaner wachstum adolf stohr franken,4,63,Super Save,72,83,good
decent hot baked ham Yuens Chinese Kitchen,hot baked ham,7,21,Yuens  Chinese  Kitchen,-1,23,decent
my sirloin steaks horseradish sauce at Gios Sports Bar was terrible,sirloin steaks  horseradish sauce,-1,33,Gios Sports Bar,39,55,terrible
The Bedford's glhwein wei is was bomb, glhwein wei,13,26,The Bedford,0,12,was bomb
my rouelle de ris de veau aux ecrevisses at Taco Burrito King was not that good,rouelle de ris de veau aux ecrevisses,3,41,Taco Burrito King,44,62,not that good
Vinyl Social Food Drink ham country cured not that good,ham country cured,24,42,Vinyl Social Food  Drink,-1,24,not that good
the old boal madeira I had at Rebecca K Crown Chld Dev Ct was not that bad,old boal madeira,4,21,Rebecca K Crown Chld Dev Ct,30,58,not that bad
the beef kabob dinner chunks of sirloin on a skewer charcoal broiled baked potato and salad I had at Romes Joy Catering Inc was could have been better,beef kabob dinner chunks of sirloin on a skewer  charcoal broiled  baked potato and salad,-1,89,Romes Joy Catering Inc,101,124,could have been better
smoked salmon on a bed of fennel Brew Brew Coffee Lounge sucked,smoked salmon on a bed of fennel,0,33,Brew Brew Coffee Lounge,33,57,sucked
hot open roast cube steak sandwich Yamon Jerk Grill good,hot open roast cube steak sandwich,0,35,Yamon Jerk Grill,35,52,good
I thought the ragout fin of chicken en coquilles at Burger King was bad,ragout fin of chicken en coquilles,14,49,Burger King ,52,65,bad
the spring lamb stew with small vegetables at Engs Asian Cuisine is sucked,spring lamb stew with small vegetables,4,43,Engs Asian Cuisine,46,65,sucked
was bomb frsk rkt lax spenat och gg Hurley School,frsk rkt lax spenat och gg,9,36,Hurley School,36,50,was bomb
Hong Kong Express glas grog von rum oder arak bad, glas grog von rum oder arak,17,46,Hong Kong Express,0,18,bad
the steamed rice with chicken I had at Pui Tak Christian School was decent,steamed rice with chicken,4,30,Pui Tak Christian School,39,64,decent
bordeaux white Byrons Hot Dog Inc decent,bordeaux white,0,15,Byrons Hot Dog Inc,15,34,decent
the clam or oyster fritters at Fannie Schmoes Bakery is could have been better,clam or oyster fritters,4,28,Fannie Schmoes Bakery,31,53,could have been better
the prime n y sirloin steak salad at Front Yard Jerk Grille is not that good,prime n y sirloin steak  salad,-1,30,Front Yard Jerk Grille,37,60,not that good
the er spatburgunder rotwein ihringer fohrenberg at Windy City Chops Inc is acceptable,er spatburgunder rotwein ihringer fohrenberg,4,49,Windy City Chops Inc,52,73,acceptable
bad blue cornmeal crepe filled with barbecued chicken Jewel Food Store,blue cornmeal crepe filled with barbecued chicken,4,54,Jewel Food Store ,-1,17,bad
I thought the tete de veau valoise at Jd Congress was okay,tete de veau  valoise,-1,21,Jd Congress,38,50,okay
Einstein Bros Bagels cocoanut croquetts decent,cocoanut croquetts,21,40,Einstein Bros Bagels  ,-1,22,decent
the filter hag at Kings Gyros is terrible,filter hag,4,15,Kings  Gyros ,-1,13,terrible
george washington special dressing Popeyes Chicken not that good,george washington special dressing,0,35,Popeyes Chicken,35,51,not that good
bad facanszelet tolsztoj modra Mirlan Sanat,facanszelet tolsztoj modra,4,31,Mirlan  Sanat,-1,13,bad
the chateau chalet at Moes Southwest Grill is could have been better,chateau chalet,4,19,Moes  Southwest Grill,-1,21,could have been better
I thought the soft tacos two warm flour tortillas at Talcott was could have been better,soft tacos  two warm flour tortillas,-1,36,Talcott,53,61,could have been better
baccala alla vicentina e polenta Heritage Outpost Lawrence House Llc decent,baccala alla vicentina e polenta,0,33,Heritage Outpost Lawrence House Llc,33,69,decent
the imported or domestic cigarettes at Gepperths Market Inc is not that bad,imported or domestic cigarettes,4,36,Gepperths Market Inc,39,60,not that bad
von der kammerkirsch a g vol cl m Subway bad,von der kammerkirsch a g   vol   cl m,-1,37,Subway,34,41,bad
I thought the salad of tossed greens with roquefort cheese at Paleteria Y Neveria La Mexicana Yogurt And Churro was not that bad,salad of tossed greens with roquefort cheese,14,59,Paleteria Y Neveria La Mexicana Yogurt And Churro,62,112,not that bad
Mothers Touch Day Care london braised beef acceptable,london braised beef,23,43,Mothers Touch Day Care,0,23,acceptable
the june peas in butter I had at Slb Hot Food Service was could have been better,june peas in butter,4,24,Slb Hot Food Service,33,54,could have been better
I thought the beef and tomatoes at Brother Sisters All Day was could have been better,beef and tomatoes,14,32,Brother  Sisters All Day,-1,24,could have been better
Snappy Convenience Center punch malinverno delicious,punch malinverno,26,43,Snappy Convenience Center ,0,27,delicious
I thought the heibe zitrone at Dip Flip was decent,heibe zitrone,14,28,Dip  Flip,-1,9,decent
robert Urban Prep Charter West Campus not that bad,robert,0,7,Urban Prep Charter West Campus,7,38,not that bad
the pouding au gingembre at Pizza Tango Inc is sucked,pouding au gingembre,4,25,Pizza Tango Inc,28,44,sucked
the creme au fraises at Our Lady Of Lourdes is decent,creme au fraises,4,21,Our Lady Of Lourdes,24,44,decent
the mullerthurgau at Starbucks Coffee is decent,mullerthurgau,4,18,Starbucks Coffee ,21,39,decent
could have been better sardellenfilet auf toast Rosatis Pizza,sardellenfilet auf toast,23,48,Rosatis Pizza,48,62,could have been better
Field's fresh baked stuffed haddock almondine crabmeat stuffing is was bomb,fresh baked stuffed haddock almondine  crabmeat stuffing,-1,56,Field,0,6,was bomb
I thought the wiener schnitzel mit petersilienerdapfeln und gemischtem salat at Floriole Bakery Llc was bad,wiener schnitzel mit petersilienerdapfeln und gemischtem salat,14,77,Floriole Bakery Llc,80,100,bad
I thought the fried eggplants a langlaise at Royal Food And Gasmart was was bomb,fried eggplants a langlaise,14,42,Royal Food And Gasmart,45,68,was bomb
my roast shoulder of mutton soubise at Queen Of The Universe School was good,roast shoulder of mutton soubise,3,36,Queen Of The Universe School,39,68,good
my smoked york ham garni at Rufino Tamayo was tasty,smoked york ham garni,3,25,Rufino Tamayo,28,42,tasty
I thought the geroosterde varkwors en kapokaartappels at Rosys Bakery was good,geroosterde varkwors en kapokaartappels,14,54,Rosys Bakery,57,70,good
